CaseID,caseid2023,caseid2022,weight_pop,panel_weight_pop,L0_a,L0_b,L0_c,L0_d,L0_e,L0B_a,L0B_b,L0B_c,L0C,L0E,B2,B3,B3A_a,B3A_b,B3A_c,B3A_d,B3A_e,B3B_a,B3B_b,B3B_c,B3B_d,B3B_e,B7_a,B7_b,X11_none,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,X13,CG0,CG1A,CG2,CG7_a,CG7_b,CG7_c,CG7_d,CG7_e,CG7_f,CG7_g,CG9,CG8,CG3,CG4,CG5_a,CG5_b,CG5_c,CG5_d,CG5_e,CG5_f,CG6,D1A,D4,D48,D3B,D1E,D22_a,D22_b,D22_c,D22_d,D22_e,D22_f,D22_g,D22_h,D22_i,D3A,D3E,D28_a,D28_b,D30,D47,D34A,D36B,D44_f,D44_a,D44_b,D44_c,D44_d,D44_e,D37A,D38_a,D38_b,D38_c,D38_d,D38_f,D39,D1B,D5,D49,D41_a,D41_b,D41_c,D41_d,D41_e,D41_f,D41_g,D41_h,D41_i,GE2A,GE12_a,GE12_b,GE12_c,GE2B,GE1A,GE1B,GE1C,GE1D,GE1E_a,GE1E_b,GE1E_c,GE1E_d,GE1E_e,GE61,GE20C,GE62_a,GE62_b,GE62_c,GE62_d,GE62_e,GE62_f,GH1,GH12,GH12A,GH13_a,GH13_b,GH13_c,GH13_d,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,GH2,R4,R5B_a,R5B_b,R5B_c,R5B_d,R5C_a,R5C_b,R5C_c,R5C_d,R3,R11,M4,GH3_a,GH3_b,GH3_c,GH3_d,GH3_e,ND0,ND1_a,ND1_b,ND1_c,ND1_d,ND1_e,ND2,ND4_a,ND4_b,ND4_c,BK1,BK2_a,BK2_b,BK2_c,BK2_d,BK2_e,BK2_f,BK47_a,BK47_b,BK48,BK49A,BK49B,BK50,BK51,BK52_a,BK52_b,BK52_c,BK52_d,BK52_e,BK52_f,BK52_g,BK52_h,A6,A0,A7_a,A7_b,A7_c,A7_d,A7_e,A7_f,A0B,A1_a,A1_b,A1_c,A8_a,A8_b,A8_c,A8_d,A8_e,A8_f,A2,C2A,C3P,C4A,BNPL1,BNPL3,BNPL3A,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,BNPL4_g,S16_a,S16_b,S16_c,S18,S21,ED0,D1G,ED0B,ED0D,ED1,SL1,SL3,SL4A,SL4,SL6,SL7,SL8_a,SL8_b,SL8_c,SL8_d,SL8_e,SL10A,SL11,SL13,D1I,K0,K8B,K9_a,K9_b,K9_c,K9_d,K9_e,K9_f,K14_a,K14_b,K15_a,K15_b,K15_c,K15_d,K15_e,K21_a,K21_b,K21_c,K21_d,K21_e,K21_f,DC4,K5A_a,K5A_b,K5A_c,I0_a,I0_b,I0_c,I0_d,I0_e,I0_f,I40,I41_a,I41_b,I41_c,I41_d,I41_e,I9,I12,I20,I21_a,I21_b,INF4,INF3_a,INF3_b,INF3_c,INF3_d,INF3_e,INF3_f,INF3_g,EF1,EF2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5C,EF6C_a,EF6C_b,EF6C_c,EF6C_d,EF7,B0_a,B0_b,B0_c,B1_a,B1_b,FD3,E8_a,E8_b,E8_c,E1_a,E1_b,E1_c,E1_d,E1_e,E2,E2A,E2B,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,CH2A,ppage,ppagecat,ppagect4,ppeduc5,ppeducat,ppemploy,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppkid017,ppt18ov,ppcm0160,ind1,ppcm1301,UNION100,pph10001,ppfs0001,ppfs0596,ppfs1482,pphi0001,ppracem,pphispan,pppa_lgb,ppp20197,pphi0018,pph12003,pph12004,pph12005,pph12006,pph12007,pphhsize5,race_5cat,inc_4cat_50k,educ_4cat,pay_casheqv,atleast_okay,control
20,,,10562.534,,Yes,No,Yes,No,No,,,,,,Doing okay,Much worse off,No,Yes,No,No,No,,,,,,Only fair,Poor,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Self-employed (working for myself),Yes,,,,Yes,Some,,No,No,No,No,No,No,,,,,,,,Not confident,No,,No,,No,No,Yes,No,No,No,Yes,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,Yes,No,,,,,,,,,Before 2023,,,,,,,,,,,,1700.0,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Very dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Master’s degree,No,,,Business / management,No,,,,,No,,,,,,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,Not comfortable,No,Yes,No,Yes,No,Yes,No,No,No,"$100,000 to $149,999",No,No,No,No,,Roughly the same amount each month,,The same as your income,About the same,About the same,Much worse,Yes,Yes,Yes,No,No,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Very little,Somewhat,Somewhat,Sometimes,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,No,Certificate or technical degree,70,65-74,60+,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Male,3,A one-family house detached from any other house,"$100,000 to $149,999",Now married,Metro,West,Mountain,Owned or being bought by you or someone in your household,co,0,3,Management,Construction and Specialty Contractors (such as Plumbing and Electrical),Self-employed,Not asked,Fair,Another household member and I share in the decisions,,Excellent,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,3,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Public
54,67.0,,18043.0957,35391.0866,Yes,Yes,No,No,No,,,,1,0 to 2 years old,Living comfortably,Somewhat better off,,,,,,Yes,No,Yes,Yes,No,Excellent,Excellent,,Not a concern,Major concern,Major concern,Minor concern,Not a concern,Not a concern,Minor concern,,Yes,20 to 39 hours,300.0,No,No,No,No,No,No,Yes,,,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Often,Often,Normally work the same hours,No,Some,Very likely,No,No,Yes,No,No,No,,,,,,,,Somewhat confident,Yes,Yes,,,,,,,,,,No,,,,No,Yes,,,,,,,,,No,5 to 19 hours,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Pay rent,,,,,,,Yes,No,Yes,No,No,Yes,No,No,Before 2023,,,,,,,,,,850.0,No,,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,Yes,Yes,No,No,No,No,No,,No,No,No,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,Yes,Yes,No,,Other (please specify),Master’s degree,"Yes, as a part-time student",Doctoral degree,,Engineering,No,,,,,No,,,,,,Yes,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,Very comfortable,No,No,No,Yes,Yes,No,No,No,No,"$200,000 or more",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,About the same,Little or no effect,Yes,No,No,No,No,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Not at all,Very little,Very little,Always,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Graduate degree,32,25-34,30–44,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Male,3,One-family condo or townhouse attached to other units,"$150,000 or more",Now married,Metro,West,Mountain,Rented for cash,id,1,2,Architecture and Engineering,"Professional, Scientific, Technical, and Business Services",Private-for-profit company,No,Very good,I make all or  most of the decisions,,Excellent,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,3,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Private nonprofit
97,,30151.0,36896.2153,,No,No,No,No,No,,,,,,Doing okay,About the same,,,,,,,,,,,Only fair,Poor,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,No,No,,No,No,No,No,Yes,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Not confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,Yes,No,No,No,,,,,,,,,Before 2023,,,,,,,,,,,,1700.0,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,No,,,,,,,,,,,Yes,did not pay or paid less than the minimum payment on at least one card,Some of the time,No,,,,,,,,,,No,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,,No,,No,Don’t know,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Not comfortable,No,No,No,No,No,No,No,No,No,"$75,000 to $99,999",No,No,No,No,,Occasionally varies from month to month,Yes,More than your income,Decreased,Increased,Somewhat worse,Yes,Yes,Yes,Yes,Yes,No,,Yes,,No,No,No,No,No,No,Yes,No,No,Paid in full,Paid in full,Paid in full,Does not apply (do not have bill),$500 to $999,Somewhat,Somewhat,Somewhat,Rarely,Often,Sometimes not enough to eat,No,No,No,Yes,Yes,No,Yes,Yes,Yes,"$2,000 to $4,999",Yes,Yes,No,No,No,No,No,Less than high school degree,53,45-54,45–59,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working full-time,Hispanic,Female,1,A one-family house detached from any other house,"$100,000 to $149,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,az,0,1,"Financial Operations or Financial Services (including Financial Advisor, Broker)","Finance, Banking, and Insurance",Private-for-profit company,No,Very good,I make all or  most of the decisions,"$100,000 - $249,999",Excellent,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,1,Hispanic,"$50,000–$99,999",High school degree or GED,No,Yes,
99,,,31622.1708,,Yes,No,No,No,No,,,,,,Doing okay,Somewhat worse off,Yes,Yes,No,No,No,,,,,,Only fair,Poor,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,Yes,,,,,,,,,,Working for someone else,,Rarely,Often,Normally work the same hours,No,,Very likely,No,No,Yes,Yes,No,No,,,,,,,,Not confident,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,2188.0,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,No,,,,,,Somewhat higher,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Master’s degree,No,,,Health,No,,,,,Yes,No,No,Yes,No,Yes,No,Do not have children or grandchildren,,No,No,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$150,000 to $199,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,Decreased,Decreased,Somewhat worse,Yes,Yes,Yes,No,Yes,No,,Yes,,Yes,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Somewhat,Somewhat,Very well,Sometimes,Rarely,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Some college but no degree,44,35-44,30–44,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Female,2,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,tx,0,2,"Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","Health Care (including Elder Care, Home Health Care)",Government,No,Very good,Another household member and I share in the decisions,"$50,000 - $99,999",Excellent,More English than Spanish,White,"Yes, Other","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Private nonprofit
127,150.0,30205.0,45688.5791,112180.529,Yes,Yes,Yes,No,No,,,,1,13 to 17,Living comfortably,About the same,,,,,,,,,,,Good,Good,,Minor concern,Major concern,Minor concern,Major concern,Minor concern,Minor concern,Minor concern,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Often,Always,Normally work the same hours,No,,Not that likely,No,No,No,Yes,Yes,Yes,Different main job – new employer,Better,Better,Better,About the same,About the same,Better,Very confident,Yes,Yes,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,Yes,No,No,No,,,,,,,,,Before 2023,,,,,,,,,,,,2700.0,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,No,No,,No,No,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$200,000 or more",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,Decreased,Little or no effect,Yes,Yes,No,No,Yes,No,,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Very little,Very well,Somewhat,Always,Rarely,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,Yes,"$2,000 to $4,999",No,Yes,No,No,No,No,No,Graduate degree,50,45-54,45–59,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working full-time,Hispanic,Female,4,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,West,Mountain,Owned or being bought by you or someone in your household,co,1,3,Office and Administrative Support,"Information (including Publishing, Media, Telecom, Internet Search, and Social Networking)",Private-for-profit company,No,Very good,Another household member and I share in the decisions,"$100,000 - $249,999",Good,More English than Spanish,White,"Yes, Other","Straight, that is, not gay",Yes,,No,No,No,No,No,4,Hispanic,"$100,000 or more",High school degree or GED,Yes,Yes,
162,,,12279.8802,,Yes,Yes,Yes,No,No,,,,1,13 to 17,Living comfortably,About the same,,,,,,,,,,,Only fair,Only fair,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Often,Always,Normally work the same hours,Don’t know,Some,Not at all likely,No,Yes,Yes,No,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,Yes,No,Yes,Yes,No,,No,,No,,,,,,No,Less than 1 hour,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Own your home free and clear (without a mortgage or loan),Yes,,Yes,No,No,No,,,,,,,,,Before 2023,,,,,,,,,,,,,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat satisfied,No,,,,,,Somewhat higher,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Business / management,No,,,,,No,,,,,,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,No,Mostly comfortable,No,No,No,Yes,Yes,No,No,No,No,"$100,000 to $149,999",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,About the same,Little or no effect,Yes,No,No,No,No,No,Yes,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Not at all,Not at all,Not at all,Always,Never,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Less than high school degree,50,45-54,45–59,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,4,A one-family house detached from any other house,"$100,000 to $149,999",Now married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,wi,1,3,"Financial Operations or Financial Services (including Financial Advisor, Broker)","Factory, Manufacturing, and Woodworking",Private-for-profit company,No,Very good,Another household member and I share in the decisions,,Good,More English than Spanish,White,"Yes, Other","Straight, that is, not gay",Yes,28.0,No,No,No,No,No,4,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Private nonprofit
188,218.0,30317.0,28697.8399,81426.8935,No,No,No,No,No,,,,,,Finding it difficult to get by,Much worse off,No,Yes,No,No,Yes,,,,,,Only fair,Only fair,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Rarely,Never,"Schedule varies, primarily based on my employer’s needs",No,,Very likely,Yes,No,No,Yes,Yes,No,Different main job – new employer,Better,About the same,About the same,Worse,Worse,Worse,Not confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Pay rent,,,,,,,No,No,No,No,Yes,Yes,Yes,No,2024,No,No,No,No,No,,,,,1300.0,No,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,No,,,,,,About the same,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,,,,,,,,Not confident,No,,,,,,,Yes,,,,,,,,,,Yes,No,,,No,,,,,,,,,,No,No,No,,,Some college but no degree (including currently enrolled in college),No,,,Other,No,,,,,No,,,,,,,Do not have children or grandchildren,,No,Don’t know,,,,,,,,,,,,,,,No,No,No,No,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$15,000 to $19,999",No,Yes,No,No,,Roughly the same amount each month,,The same as your income,Decreased,About the same,Much worse,Yes,Yes,Yes,No,No,Yes,,No,No,No,No,No,No,Yes,No,No,No,No,Made partial payment or did not pay,Made partial payment or did not pay,Made partial payment or did not pay,Does not apply (do not have bill),Under $100,Very well,Completely,Very well,Never,Always,"Enough, but not always the kinds of food we wanted to eat",No,No,No,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,No,Bachelor’s degree,38,35-44,30–44,Some college or Associate's degree,Some college or Associate's degree,Working part-time,Hispanic,Female,1,A one-family house detached from any other house,"$100,000 to $149,999",Never married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,ct,0,1,Other (Please specify),Retail/Stores/Shopping (including Online Retail),Private-for-profit company,No,Good,Another household member and I share in the decisions,,Good,More English than Spanish,White,"Yes, Other","Straight, that is, not gay",Yes,,No,No,No,No,No,1,Hispanic,"Less than $25,000",Some college/technical or associates degree,No,No,Public
196,,259.0,21890.3891,,No,No,Yes,Yes,No,,,,,,Living comfortably,About the same,,,,,,,,,,,Only fair,Only fair,,Major concern,Major concern,Major concern,Major concern,Major concern,Major concern,Not a concern,Both are of equal concern,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Always,Always,Normally work the same hours,No,All,Somewhat likely,No,No,Yes,No,No,No,,,,,,,,Somewhat confident,,,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Pay rent,,,,,,,No,No,No,Yes,No,Yes,No,No,2024,"Yes, and I no longer own that home",,,,,No,No,No,No,2700.0,No,,Very satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,Some college but no degree (including currently enrolled in college),No,,,Computer / information sciences,No,,,,,No,,,,,,,No,,No,Yes,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$75,000 to $99,999",No,No,No,No,,Occasionally varies from month to month,No,Less than your income,About the same,About the same,Somewhat worse,Yes,Yes,No,No,No,No,,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Not at all,Very little,Somewhat,Often,Rarely,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Some college but no degree,51,45-54,45–59,Some college or Associate's degree,Some college or Associate's degree,Working full-time,Hispanic,Female,5,Building with 2 or more apartments,"$100,000 to $149,999",Divorced,Metro,West,Pacific,Occupied without payment of cash rent,ca,0,5,Other (Please specify),"Professional, Scientific, Technical, and Business Services",Private-for-profit company,No,Good,I make all or  most of the decisions,,Good,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,5,Hispanic,"$50,000–$99,999",Some college/technical or associates degree,Yes,Yes,Public
204,,,16803.5977,,No,No,No,Yes,Yes,No,Yes,No,,,Just getting by,Somewhat worse off,No,Yes,No,Yes,No,,,,,,Only fair,Only fair,No,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,No,Yes,No,Several days per week,No,,,,No,Yes,,No,Yes,Yes,No,Yes,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Not confident,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,500.0,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,"Yes, slightly",No,No,No,No,No,Somewhat higher,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,Not confident,No,,,,,,,Yes,,,,,,,,,,Yes,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Humanities / arts,Yes,"Less than $5,000",Yes,$1 to $99,No,,No,No,Yes,No,No,,Do not have children or grandchildren,,No,Don’t know,,,,,,,,,,,,,,,No,No,No,No,Yes,No,Slightly comfortable,No,No,No,No,No,No,No,No,No,"Less than $5,000",No,No,No,No,,Occasionally varies from month to month,Yes,Less than your income,Decreased,About the same,Somewhat worse,Yes,Yes,No,Yes,Yes,No,,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,,,,,$100 to $499,Very well,Very well,Completely,Rarely,Often,"Enough, but not always the kinds of food we wanted to eat",No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Certificate or technical degree,36,35-44,30–44,Bachelor's degree,Bachelor's degree or higher,Not working,Hispanic,Female,3,A one-family house detached from any other house,"$25,000 to $49,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,ca,0,3,Not asked,-2,Not asked,Not asked,Good,Another household member makes all or most of the decisions,,Don’t know,Both Spanish and English equally,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,3,Hispanic,"Less than $25,000",Bachelor's degree or more,No,No,Public
207,233.0,,48777.8336,108934.175,No,No,Yes,No,No,,,,,,Doing okay,About the same,,,,,,,,,,,Good,Good,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Sometimes,Sometimes,Normally work the same hours,No,,Not that likely,No,No,Yes,No,No,No,,,,,,,,Not confident,,,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,1712.0,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No money was ever transferred out of or taken from my account,,,less than 1 hour,Yes,Yes,No,No,No,No,No,No,No,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Less than high school degree,No,,,,No,,,,,No,,,,,,,Yes,Don’t know,No,Don’t know,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$200,000 or more",No,No,No,No,,Roughly the same amount each month,,The same as your income,Increased,About the same,Somewhat worse,Yes,Yes,No,No,Yes,No,,Yes,,Yes,No,No,No,No,No,No,No,Yes,,,,,"$2,000 or more",Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Enough of the kinds of food we wanted to eat,Yes,Yes,Yes,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Less than high school degree,54,45-54,45–59,No high school diploma or GED,No high school diploma or GED,Working full-time,Hispanic,Male,3,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Now married,Metro,West,Pacific,Owned or being bought by you or someone in your household,ca,0,3,Building and Grounds Cleaning and Maintenance,Repairs and Maintenance,Private-for-profit company,No,Good,Another household member makes all or most of the decisions,,Excellent,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",No,35.0,No,No,No,No,No,3,Hispanic,"$100,000 or more",Less than a high school degree,Yes,Yes,
